Job title,Company,Experience,Location,Salary,Salary (L),min Salary (L),max Salary (L),avg salary (L),Experience (yrs),min Experience (yrs),max Experience (yrs),avg Experience (yrs)
data engineer,Tech Mahindra,4-9 Yrs,hyderabad,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,4-9 ,4,9,6.5
data engineer,2coms,3-8 Yrs,hyderabad,4.75-9.75 Lacs PA,4.75-9.75 ,4.75,9.75,7.25,3-8 ,3,8,5.5
ML Engineer,Notus Services,8-13 Yrs,Bangalore,20-30 Lacs PA,20-30 ,20.0,30.0,25.0,8-13 ,8,13,10.5
python developer,Relu Consultancy,0-2 Yrs,remote,2-5 Lacs PA,2-5 ,2.0,5.0,3.5,0-2 ,0,2,1.0
Data Analyst,Selective Global Search,2-6 Yrs,Misc,3-5.5 Lacs PA,3-5.5 ,3.0,5.5,4.25,2-6 ,2,6,4.0
Data Scientist,Epam Systems,7-12 Yrs,Bangalore,20-35 Lacs PA,20-35 ,20.0,35.0,27.5,7-12 ,7,12,9.5
Data Analyst,IntraEdge Technology,7-12 Yrs,Bangalore,5-15 Lacs PA,5-15 ,5.0,15.0,10.0,7-12 ,7,12,9.5
ML Engineer,Pyramid Human Resources Consultancy,10-15 Yrs,Bangalore,10-20 Lacs PA,10-20 ,10.0,20.0,15.0,10-15 ,10,15,12.5
Data Analyst,Krazy Mantra,7-12 Yrs,Bangalore,20-30 Lacs PA,20-30 ,20.0,30.0,25.0,7-12 ,7,12,9.5
Data Analyst,Skillmine Technology Consulting,4-6 Yrs,Bangalore,11-13 Lacs PA,11-13 ,11.0,13.0,12.0,4-6 ,4,6,5.0
Data Analyst,Skillmine Technology Consulting,4-6 Yrs,Bangalore,4.75-9.75 Lacs PA,4.75-9.75 ,4.75,9.75,7.25,4-6 ,4,6,5.0
Data Analyst,Search Advisers Services Guj,3-5 Yrs,Bangalore,8-18 Lacs PA,8-18 ,8.0,18.0,13.0,3-5 ,3,5,4.0
Data Analyst,Pylon Management Consulting,2-4 Yrs,Bangalore,10-12 Lacs PA,10-12 ,10.0,12.0,11.0,2-4 ,2,4,3.0
Data Analyst,Search Advisers Services Guj,3-5 Yrs,Bangalore,9.5-15 Lacs PA,9.5-15 ,9.5,15.0,12.25,3-5 ,3,5,4.0
Data Analyst,APC Consultants,2-7 Yrs,Chennai,4-7 Lacs PA,4-7 ,4.0,7.0,5.5,2-7 ,2,7,4.5
Data Analyst,Luv Sethi,5-10 Yrs,remote,8-16 Lacs PA,8-16 ,8.0,16.0,12.0,5-10 ,5,10,7.5
Data Scientist,Tata Consultancy Services (TCS),8-13 Yrs,Bangalore,12-22 Lacs PA,12-22 ,12.0,22.0,17.0,8-13 ,8,13,10.5
Data Scientist,Tata Consultancy Services (TCS),4-8 Yrs,Bangalore,3-8 Lacs PA,3-8 ,3.0,8.0,5.5,4-8 ,4,8,6.0
Data Scientist,Brainsearch Consulting,10-16 Yrs,Bangalore,40-60 Lacs PA,40-60 ,40.0,60.0,50.0,10-16 ,10,16,13.0
data engineer,Selective Global Search,7-12 Yrs,Bangalore,30-40 Lacs PA,30-40 ,30.0,40.0,35.0,7-12 ,7,12,9.5
data engineer,Selective Global Search,7-12 Yrs,Bangalore,30-40 Lacs PA,30-40 ,30.0,40.0,35.0,7-12 ,7,12,9.5
data engineer,Snapminds Technologies,7-12 Yrs,Bangalore,35-60 Lacs PA,35-60 ,35.0,60.0,47.5,7-12 ,7,12,9.5
data engineer,Wipzo Systech,7-10 Yrs,Bangalore,30-40 Lacs PA,30-40 ,30.0,40.0,35.0,7-10 ,7,10,8.5
data engineer,Selective Global Search,5-10 Yrs,Bangalore,25-30 Lacs PA,25-30 ,25.0,30.0,27.5,5-10 ,5,10,7.5
data engineer,XA Group,5-8 Yrs,remote,18-30 Lacs PA,18-30 ,18.0,30.0,24.0,5-8 ,5,8,6.5
data engineer,Lykora Consulting,6-9 Yrs,Bangalore,6.5-16.5 Lacs PA,6.5-16.5 ,6.5,16.5,11.5,6-9 ,6,9,7.5
data engineer,Live Connections,3-8 Yrs,remote,25-40 Lacs PA,25-40 ,25.0,40.0,32.5,3-8 ,3,8,5.5
data engineer,Imerit,8-13 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,8-13 ,8,13,10.5
data engineer,Masadir Hr Services,5-7 Yrs,Pune,15-27.5 Lacs PA,15-27.5 ,15.0,27.5,21.25,5-7 ,5,7,6.0
Data Analyst,Rudder Analytics,3-6 Yrs,Pune,8-16 Lacs PA,8-16 ,8.0,16.0,12.0,3-6 ,3,6,4.5
data engineer,Mijas Consultants,4-7 Yrs,Maharashtra,11-21 Lacs PA,11-21 ,11.0,21.0,16.0,4-7 ,4,7,5.5
data engineer,Talent21,5-10 Yrs,Bangalore,60000-80000 PA,0.6-0.8 ,0.6,0.8,0.7,5-10 ,5,10,7.5
data engineer,Epam Systems,4-9 Yrs,Bangalore,16-30 Lacs PA,16-30 ,16.0,30.0,23.0,4-9 ,4,9,6.5
data engineer,KPI Partners,8-13 Yrs,Bangalore,14-24 Lacs PA,14-24 ,14.0,24.0,19.0,8-13 ,8,13,10.5
data engineer,KPI Partners,5-10 Yrs,Bangalore,6-16 Lacs PA,6-16 ,6.0,16.0,11.0,5-10 ,5,10,7.5
data engineer,Mckinsol Consulting,2-7 Yrs,Bangalore,8-16 Lacs PA,8-16 ,8.0,16.0,12.0,2-7 ,2,7,4.5
data engineer,Vanshria Holdings And Ventures,5-8 Yrs,remote,15-20 Lacs PA,15-20 ,15.0,20.0,17.5,5-8 ,5,8,6.5
data engineer,Ascendion Engineering,4-9 Yrs,remote,15-22.5 Lacs PA,15-22.5 ,15.0,22.5,18.75,4-9 ,4,9,6.5
data engineer,Exponentia Datalabs,2-4 Yrs,Bangalore,7-12 Lacs PA,7-12 ,7.0,12.0,9.5,2-4 ,2,4,3.0
data engineer,Customer Centria,5-6 Yrs,Bangalore,12-17 Lacs PA,12-17 ,12.0,17.0,14.5,5-6 ,5,6,5.5
data engineer,Truebonzer,5-10 Yrs,Bangalore,15-30 Lacs PA,15-30 ,15.0,30.0,22.5,5-10 ,5,10,7.5
data engineer,Gibraltar Technologies Llc,8-10 Yrs,Bangalore,20-25 Lacs PA,20-25 ,20.0,25.0,22.5,8-10 ,8,10,9.0
data engineer,Winwire Technologies,5-8 Yrs,Bangalore,16-20 Lacs PA,16-20 ,16.0,20.0,18.0,5-8 ,5,8,6.5
data engineer,CTD Techs,5-10 Yrs,Bangalore,5-15 Lacs PA,5-15 ,5.0,15.0,10.0,5-10 ,5,10,7.5
Data Scientist,Masterkube,2-5 Yrs,Bangalore,5-12 Lacs PA,5-12 ,5.0,12.0,8.5,2-5 ,2,5,3.5
data engineer,PwC,4-9 Yrs,Kolkata,4-9 Lacs PA,4-9 ,4.0,9.0,6.5,4-9 ,4,9,6.5
data engineer,Espire Infolabs,6-10 Yrs,Gurugram,8-15 Lacs PA,8-15 ,8.0,15.0,11.5,6-10 ,6,10,8.0
data engineer,Tata Technologies,3-5 Yrs,Maharashtra,3-8 Lacs PA,3-8 ,3.0,8.0,5.5,3-5 ,3,5,4.0
data engineer,Koantek Cloud And Ai Services,0-1 Yrs,remote,5-7 Lacs PA,5-7 ,5.0,7.0,6.0,0-1 ,0,1,0.5
data engineer,Tata Technologies,3-6 Yrs,Maharashtra,6-10 Lacs PA,6-10 ,6.0,10.0,8.0,3-6 ,3,6,4.5
data engineer,RSn G Info Solutions,1-2 Yrs,Hybrid,2.5-3.5 Lacs PA,2.5-3.5 ,2.5,3.5,3.0,1-2 ,1,2,1.5
Data Analyst,Career Consulting Professionals,7-12 Yrs,Uttar pradesh,20-25 Lacs PA,20-25 ,20.0,25.0,22.5,7-12 ,7,12,9.5
Data Analyst,Aarushi Consulting Services,2-4 Yrs,Maharashtra,4-5 Lacs PA,4-5 ,4.0,5.0,4.5,2-4 ,2,4,3.0
Data Analyst,Medanta,2-5 Yrs,Gurugram,2.5-3.25 Lacs PA,2.5-3.25 ,2.5,3.25,2.875,2-5 ,2,5,3.5
